hashkey,score,dict_str
dbe5bdeb7b601a6c07252ffa410d6d0b,0.0,"{'1d_start': 5, 'opt': 'SGD', 'layers': [[1, 2, 3, 2], [1, 2, 3, 4], [2, 0, 3, 4], [2, 1, 2, 2], [2, 0, 3, 2], [3, 2, 5, 0.10244916101649344], [4, 0, 9, 0.5131837693025529]]}"
7575726a741eef76073106e62b929d64,0.0,"{'1d_start': 8, 'opt': 'SGD', 'layers': [[0, 0, 3, 4], [2, 0, 3, 3], [0, 0, 5, 2], [0, 0, 1, 4], [1, 2, 2, 4], [0, 1, 3, 4], [2, 0, 3, 2], [1, 2, 3, 3]]}"
f9c69edb776b1a7270a0f9388a1ec848,0.0,"{'1d_start': 7, 'opt': 'SGD', 'layers': [[2, 2, 3, 3], [2, 0, 2, 2], [2, 1, 3, 2], [1, 2, 2, 3], [2, 2, 2, 4], [1, 1, 3, 4], [2, 0, 2, 2]]}"
277f91a978d8b612960e7839d4f4f2a2,0.1717291623353958,"{'1d_start': 4, 'opt': 'SGD', 'layers': [[1, 2, 3, 2], [0, 1, 1, 3], [1, 2, 3, 4], [2, 0, 2, 2], [3, 0, 2, 0.8194592272782729], [3, 1, 2, 0.639255356176587]]}"
17782914c2ad4264c9fb8446b6cf237a,0.234458327293396,"{'1d_start': 4, 'opt': 'adam', 'layers': [[1, 2, 3, 3], [1, 0, 2, 4], [0, 0, 1, 2], [2, 0, 2, 2], [3, 2, 6, 0.8801124325884567], [3, 0, 1, 0.8270160403453277], [4, 1, 8, 0.6309980548438393], [3, 1, 1, 0.2568708351936782]]}"
3da967ffd02d7f936088d1a2fb19a5c7,0.6680208444595337,"{'1d_start': 4, 'opt': 'adam', 'layers': [[2, 2, 2, 2], [1, 1, 3, 2], [0, 2, 5, 3], [2, 0, 2, 3]]}"
255b7c730a1a6fd9b9a80db57f881f6b,0.7739583253860474,"{'1d_start': 3, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [1, 2, 3, 3], [0, 1, 3, 2], [4, 1, 4, 0.5023710429780133], [4, 0, 4, 0.5589606580190838]]}"
1b27897aa8a57ae559985b01f5620679,0.2605416774749756,"{'1d_start': 3, 'opt': 'SGD', 'layers': [[0, 2, 3, 4], [1, 2, 3, 4], [2, 0, 2, 2], [3, 0, 2, 0.8194592272782729], [3, 1, 2, 0.639255356176587]]}"
e978e87904f267ee4490603b56e3efb2,0.09866666793823242,"{'1d_start': 4, 'opt': 'adam', 'layers': [[1, 2, 3, 3], [1, 0, 2, 4], [0, 0, 1, 2], [2, 0, 2, 2], [3, 0, 8, 0.4950238303236834], [3, 1, 1, 0.5946983511008932], [4, 1, 8, 0.6309980548438393], [3, 1, 1, 0.2568708351936782]]}"
82e05bac57c4b5941d8b430619d2c8ba,0.0,"{'1d_start': 5, 'opt': 'adam', 'layers': [[1, 0, 2, 3], [2, 1, 3, 2], [0, 1, 6, 2], [0, 0, 3, 2], [1, 2, 3, 2], [4, 2, 5, 0.4126027451396755], [4, 1, 8, 0.41882066391298106], [4, 1, 4, 0.2152709747196412]]}"
d2160812ad9e212ca3ea910c76c1a7d2,0.7759583592414856,"{'1d_start': 4, 'opt': 'SGD', 'layers': [[0, 0, 2, 2], [1, 2, 2, 2], [0, 0, 5, 3], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
24dafb7aad4eab9f61d07c6c059cb043,0.0,"{'1d_start': 4, 'opt': 'adam', 'layers': [[2, 2, 2, 2], [1, 1, 3, 2], [0, 2, 5, 3], [2, 1, 3, 4]]}"
